Source,Target
Traces the outlines of basic 2D shapes,Names common 3D objects by identifying their geometric forms in the environment.
Names common 3D objects by identifying their geometric forms in the environment.,"Relates 3D objects to flat faces through visual matching (e.g., television to rectangle)."
Names common 3D objects by identifying their geometric forms in the environment.,Matches real-world objects to their corresponding 3D shapes.
Matches real-world objects to their corresponding 3D shapes.,Matches complex real-world solids to geometric shapes to identify characteristics like flat vs. curved surfaces.
"Relates 3D objects to flat faces through visual matching (e.g., television to rectangle).",Distinguishes between flat 2D shapes and solid 3D figures while relating specific faces to corresponding objects.
"Identifies and matches basic 2D shapes (circle, triangle, rectangle, square) across various sizes and orientations.",Distinguishes between flat 2D shapes and solid 3D figures while relating specific faces to corresponding objects.
Relate actions to day/night periods.,Distinguish time via visual markers.
Distinguish time via visual markers.,Associate greetings with clock times.
Associate greetings with clock times.,Sequence activities using hourly markers.
Sequence activities using hourly markers.,Identifies chronological boundaries (sunrise/sunset) and sequences the ordinal position of specific days and months.
Correlates numerals to quantities up to 10 by selecting digits for object sets.,"Identifies and matches visual images of Indian coins (₹1, ₹2, ₹5) to their specific monetary values."
"Identifies and matches visual images of Indian coins (₹1, ₹2, ₹5) to their specific monetary values.","Recognizes and distinguishes between standard Indian currency notes (₹10, ₹20, ₹100) by relating images to labels."
"Recognizes and distinguishes between standard Indian currency notes (₹10, ₹20, ₹100) by relating images to labels.",Calculates equivalent values for denominations and matches currency images to target totals up to ₹20.
Calculates equivalent values for denominations and matches currency images to target totals up to ₹20.,Constructs monetary sets up to ₹100 by combining notes and coins.
Identifies and names objects as big or small through direct visual comparison.,Describes heights (tall/short) within a routine narrative context using basic descriptive labels.
Describes heights (tall/short) within a routine narrative context using basic descriptive labels.,Compares objects as taller or shorter using pictures to identify relative height.
Compares objects as taller or shorter using pictures to identify relative height.,Ranks a set of three objects based on their specific length or height properties.
Ranks a set of three objects based on their specific length or height properties.,Utilizes pictorial hand-spans as non-standard digital benchmarks to estimate length.
Utilizes pictorial hand-spans as non-standard digital benchmarks to estimate length.,"Determines the length or height of objects by identifying and counting ""feet"" as consistent repeat units in pictorial models."
Identifies and names objects as big or small through direct visual comparison.,Identifies weight status (heavy/light) based on visual cues
Identifies weight status (heavy/light) based on visual cues,"Contrasts the weight of pictorial object pairs to distinguish between ""heavy"" and ""light"" properties."
"Contrasts the weight of pictorial object pairs to distinguish between ""heavy"" and ""light"" properties.",Selects the heaviest or lightest item from a set of three objects using visual weight comparisons
Selects the heaviest or lightest item from a set of three objects using visual weight comparisons,Analyzes relative weight by interpreting the positional state of balance scales.
Identifies more or less in groups up to 3 through counting.,"Selects the correct comparison words ""more"" or ""less"" to describe visual volumes in containers"
"Selects the correct comparison words ""more"" or ""less"" to describe visual volumes in containers","Distinguishes between vessels that hold more or less liquid by comparing container types (e.g., tub vs. mug, jar vs. glass)."
"Distinguishes between vessels that hold more or less liquid by comparing container types (e.g., tub vs. mug, jar vs. glass).","Categorizes the specific internal volume level of liquid within a container using labels like quarter-full, half-full, and three-fourth full."
Relate actions to day/night periods.,Selects the appropriate relative time adverbs (today/tomorrow/yesterday) to complete routine contextual sentences.
Selects the appropriate relative time adverbs (today/tomorrow/yesterday) to complete routine contextual sentences.,"Recognizes specific types of days, such as weekends and holidays, in context."
"Recognizes specific types of days, such as weekends and holidays, in context.",Reproduces the sequential order of all 7 days and first 6 months of the year.
Associate greetings with clock times.,Interprets analog clock faces to identify and name specific hourly timeframes (O'clock).
Interprets analog clock faces to identify and name specific hourly timeframes (O'clock).,Recalls technical time conversions (seconds/minutes/hours) and basic week/month durations.
Reproduces the sequential order of all 7 days and first 6 months of the year.,Names the correct day when describing familiar events.
Reproduces the sequential order of all 7 days and first 6 months of the year.,Names the correct month when describing familiar events.
Names the correct month when describing familiar events.,Identifies the months of the year using a calendar in her daily life
Classify pictorial items by comparing two visual factors.,Recognises and extends simple patterns
Recognises and extends simple patterns,Continues a given simple pattern by selecting the next correct item.
Continues a given simple pattern by selecting the next correct item.,Identifies the repeating unit and extends the pattern.
Identifies the repeating unit and extends the pattern.,"Identifies increasing numerical patterns by using forward skip counting (5s, 10s)."
"Identifies increasing numerical patterns by using forward skip counting (5s, 10s).",Analyzes decreasing numerical patterns by identifying missing values in backward skip counting sequences.
Analyzes decreasing numerical patterns by identifying missing values in backward skip counting sequences.,completes numerical sequences up to 999 by identifying missing values in backward skip-counting by 10s and skip-counting by 100s.
"Identifies increasing numerical patterns by using forward skip counting (5s, 10s).",Categorizes and extends even and odd number patterns (+2) within sequences.
Categorizes and extends even and odd number patterns (+2) within sequences.,Identifies and extends alternating patterns of two (+2) within numerical sequences.
Constructs and recalls multiplication facts for tables of 2 and 3 using patterns and grouping.,"Generalizes growth in sequences by predicting fixed increases (2s, 3s, 4s) via skip counting and tables."
completes numerical sequences up to 999 by identifying missing values in backward skip-counting by 10s and skip-counting by 100s.,Extends complex numerical sequences using ascending and descending logic within a 1–999 range.
