Domain,Competency,Grade,LO Code, Outcome,Skill,Chimple Subject,Chimple Chapter,Chimple Lesson,Difficulty_Score,,,,,,,Source,Code,Score
Number Sense,Counting & Cardinality,Class 1,ILM 4.9,"Counts objects up to 20, concretely and pictorially",Verifies pictorial quantities within the 11–20 range to confirm counting accuracy.,English,Counting,How many?,0.375,,,,,,,"Counts the total objects, takes away a given number, and recounts the remaining objects to determine the result (up to 9).",c59,0.4375
Number Sense,Counting & Cardinality,Class 1,ILM 4.9,"Counts objects up to 20, concretely and pictorially",Verifies pictorial quantities within the 11–20 range to confirm counting accuracy.,English,Counting,How many? 1,0.375,,,,,,,Counts three objects one by one to establish early cardinality.,c15,0.1875
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,1   - 20,0.4375,,,,,,,Describes heights (tall/short) within a routine narrative context using basic descriptive labels.,c92,0.0625
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,21 - 30,0.4375,,,,,,,Describes the relative position of multiple objects within a scene by applying combined positional vocabulary.,c6,0.1875
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,31 -  40,0.4375,,,,,,,Determines remaining quantities up to 10 by removing items from a visual collection.,c60,0.5
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,41 - 50,0.4375,,,,,,,"Determines the length or height of objects by identifying and counting ""feet"" as consistent repeat units in pictorial models.",c143,0.3125
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,51 - 60,0.4375,,,,,,,Determines the total of two small groups quickly by recognizing quantities and recounting when needed (up to 9).,c49,0.375
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,61 - 70,0.4375,,,,,,,"Develops initial regrouping (carrying) logic and executes vertical procedures where addends include ""teen"" numbers",c55,0.6875
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,71 - 80,0.4375,,,,,,,Differentiates between polygons and advanced figures like hexagons and rhombuses.,c138,0.125
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,81 - 90,0.4375,,,,,,,Distinguish time via visual markers.,c86,0.0625
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,91 - 100,0.4375,,,,,,,Distinguishes between flat 2D shapes and solid 3D figures while relating specific faces to corresponding objects.,c140,0.1875
Number Sense,Counting & Cardinality,Class 2 ,ILM 5.9,Counts objects up to 100 in group of tens,Composes numbers up to 99 using groups of tens and ones.,Math,Place Value 1,20 - 99,0.4375,,,,,,,"Distinguishes between vessels that hold more or less liquid by comparing container types (e.g., tub vs. mug, jar vs. glass).",c100,0.375
Number Sense,Number Sequencing,Preschool 2,IL 2.10,Can count forward and backward from a particular number up to 5,Counts forward and backward up to 5 from a given number.,Math,Number Sense 1 - 10,Number Order 1- 5,0.3125,,,,,,,Evaluates numerical placement in sequences up to 999 to identify missing terms.,c38,0.875
Number Sense,Number Sequencing,Preschool 3,IL 3.10,Can count forward and backward from a particular number up to 9,Orders numbers from bigger to smaller within 1 to 9.,Math,Number Sense 1 - 10,"
Number Series 1 - 8 
",0.4375,,,,,,,Executes addition involving regrouping ones into tens using place-value logic.,c129,0.75
Number Sense,Number Sequencing,Preschool 3,IL 3.10,Can count forward and backward from a particular number up to 9,Orders numbers from bigger to smaller within 1 to 9.,Math,Number Sense 1 - 10,Number Series 1 - 9,0.4375,,,,,,,Executes multi-step addition by combining three whole numbers to find totals up to 30 using visual models.,c126,0.8125
Number Sense,Number Sequencing,Preschool 3,IL 3.10,Can count forward and backward from a particular number up to 9,Orders numbers from bigger to smaller within 1 to 9.,Math,Number Sense 1 - 10,Number Series 6 - 9,0.4375,,,,,,,Executes vertical addition strategies for single and double-digit numbers with sums up to 20.,c54,0.625
Number Sense,Number Sequencing,Preschool 3,IL 3.10,Can count forward and backward from a particular number up to 9,Counts forward and backward from a given number up to 10.,Math,Number Sense 1-10,"Number Order 6–10
",0.375,,,,,,,Extends complex numerical sequences using ascending and descending logic within a 1–999 range.,c122,0.9375
Number Sense,Number Sequencing,Preschool 3,IL 3.10,Can count forward and backward from a particular number up to 9,Counts forward and backward from a given number up to 10.,Math,Number Sense 1-10,Number Series 7–10,0.375,,,,,,,Finds the remaining number by taking away and recounting (up to 5).,c57,0.3125
Number Sense,Number Sequencing,Preschool 3,IL 3.10,Can count forward and backward from a particular number up to 9,Orders numbers from bigger to smaller within 1 to 9.,Math,Number Sense 1 - 10,"
Big to Small",0.4375,,,,,,,Finds the total by combining and recounting two groups (up to 5).,c47,0.25
Number Sense,Number Sequencing,Preschool 3,IL 3.10,Can count forward and backward from a particular number up to 9,Counts backward from a given number within 1 to 9.,Math,Revision ,Count Backwards 1,0.375,,,,,,,"Generalizes growth in sequences by predicting fixed increases (2s, 3s, 4s) via skip counting and tables.",c150,0.6875
Number Sense,Number Sequencing,Class 1,ILM 4.10,Can count forward and backward from a particular number up to 20,Counts forward from a given number within 1 to 20.,Math,Number Sense 11 - 20,"Puzzle Time

",0.4375,,,,,,,Generalizes multiplication as repeated addition through equal group counting.,c69,0.5625
Number Sense,Number Sequencing,Class 1,ILM 4.10,Can count forward and backward from a particular number up to 20,Counts forward from a given number within 1 to 20.,Math,Number Sense 11 - 20,Number Series,0.4375,,,,,,,Identifies a quarter as one of four equal parts of a whole using daily-life examples.,c79,0.9375
Number Sense,Number Sequencing,Class 1,ILM 4.10,Can count forward and backward from a particular number up to 20,Counts forward from a given number within 1 to 20.,Math,Number Sense 11 - 20,Number Order,0.4375,,,,,,,Identifies addition as the required operation and solves word problems where quantities are combined or increased.,c72,0.625
Number Sense,Number Sequencing,Class 1,ILM 4.10,Can count forward and backward from a particular number up to 20,Sequences numbers forward and backward within the range of 1 to 20.,Math,Number Sense 11-20,"Number Series 1 
",0.5,,,,,,,Identifies and extends alternating patterns of two (+2) within numerical sequences.,c149,0.4375
Number Sense,Number Sequencing,Class 1,ILM 4.10,Can count forward and backward from a particular number up to 20,Sequences numbers forward and backward within the range of 1 to 20.,Math,Number Sense 11-20,Big to Small,0.5,,,,,,,"Identifies and matches basic 2D shapes (circle, triangle, rectangle, square) across various sizes and orientations.",c81,0.0625
Number Sense,Number Sequencing,Class 1,ILM 4.10,Can count forward and backward from a particular number up to 20,Counts backward accurately from a given number within 1 to 20.,Math,Revision ,"
Count Backwards 2                                                                                                                                                        ",0.4375,,,,,,,"Identifies and matches visual images of Indian coins (₹1, ₹2, ₹5) to their specific monetary values.",c89,0.375
Number Sense,Number Sequencing,Class 1,ILM 4.10,Can count forward and backward from a particular number up to 20,Arranges a set of numbers in correct sequential order within the 1 to 20 range using ascending or descending logic.,Math,Revision ,"Ascending and Descending
",0.5625,,,,,,,Identifies and names objects as big or small through direct visual comparison.,c7,0
Number Sense,Number Sequencing,Class 1,ILM 4.10,Can count forward and backward from a particular number up to 20,Arranges a set of numbers in correct sequential order within the 1 to 20 range using ascending or descending logic.,Math,Revision ,Ascending and Descending - 1,0.5625,,,,,,,Identifies and reads ordinal number names to describe sequential positions up to 100.,c121,0.75
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Counts forward from a given number within 21 to 100.,Math,Numbers 21 - 100,"Puzzle Time 21 - 30
",0.5,,,,,,,"Identifies and uses the specific position words ""inside,"" ""under,"" and ""beside"" to identify object locations.",c5,0.125
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Counts forward from a given number within 21 to 100.,Math,Numbers 21 - 100,Puzzle Time 31 - 40,0.5,,,,,,,Identifies and writes numerals from 11 to 20 to represent given quantities.,c33,0.625
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Counts forward from a given number within 21 to 100.,Math,Numbers 21 - 100,Puzzle Time 41 - 50,0.5,,,,,,,Identifies chronological boundaries (sunrise/sunset) and sequences the ordinal position of specific days and months.,c141,0.25
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Counts forward from a given number within 21 to 100.,Math,Numbers 21 - 100,Puzzle Time 51 - 60,0.5,,,,,,,Identifies division as equal sharing by distributing objects into uniform groups.,c74,0.625
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Counts forward from a given number within 21 to 100.,Math,Numbers 21 - 100,Puzzle Time 61 - 70,0.5,,,,,,,"Identifies half and whole by matching, folding, or sharing objects into two equal parts.",c76,0.75
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Counts forward from a given number within 21 to 100.,Math,Numbers 21 - 100,Puzzle Time 71 - 80,0.5,,,,,,,Identifies half as one of two equal parts of a whole using familiar objects.,c78,0.875
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Counts forward from a given number within 21 to 100.,Math,Numbers 21 - 100,Puzzle Time 81 - 90,0.5,,,,,,,"Identifies increasing numerical patterns by using forward skip counting (5s, 10s).",c109,0.3125
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Counts forward from a given number within 21 to 100.,Math,Numbers 21 - 100,Puzzle Time 91 - 100,0.5,,,,,,,Identifies more or less in groups up to 3 through counting.,c41,0.25
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Counts backward from a given number within 1 to 99.,Math,Math Sense Beginners,Count Backwards,0.5,,,,,,,Identifies number names up to five correctly.,c28,0.3125
Number Sense,Number Sequencing,Class 2 ,ILM 5.10,Can count forward and backward from a particular number up to 99,Arranges numbers from smallest to largest or largest to smallest within 1 to 99.,Math,Math Sense Beginners,"
Big to Small
",0.5625,,,,,,,Identifies numerals up to 9 by counting objects and matching them to the correct number.,c31,0.5
