sourceSkillId	targetSkillId
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Identifies medial vowel sounds in words by recognizing the vowel sound in the middle of a word.
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Identifies and reads words with vowel blends.
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for G-L.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies medial vowel sounds in words by recognizing the vowel sound in the middle of a word.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies and reads words with vowel blends.
Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for M-S.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies medial vowel sounds in words by recognizing the vowel sound in the middle of a word.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies and reads words with vowel blends.
Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for T-Z.
Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.
Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.
Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.
Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies medial vowel sounds in words by recognizing the vowel sound in the middle of a word.
Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.
Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Identifies and reads words with vowel blends.
Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for A-F.	Identifies naming words (nouns) in isolation and in simple sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for A-F.	Identifies and uses basic punctuations correctly in sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for G-L.	Identifies naming words (nouns) in isolation and in simple sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for G-L.	Identifies and uses basic punctuations correctly in sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for M-S.	Identifies naming words (nouns) in isolation and in simple sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for M-S.	Identifies and uses basic punctuations correctly in sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for T-Z.	Identifies naming words (nouns) in isolation and in simple sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for T-Z.	Identifies and uses basic punctuations correctly in sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.	Identifies naming words (nouns) in isolation and in simple sentences.
Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.	Identifies and uses basic punctuations correctly in sentences.
Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.	Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.
Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.	Identifies medial vowel sounds in words by recognizing the vowel sound in the middle of a word.
Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.	Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.
Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.	Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.
Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.	Identifies medial vowel sounds in words by recognizing the vowel sound in the middle of a word.
Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.	Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.
Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.	Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words
Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.	Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.	Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.	Identifies and reads word family 'o' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.	Identifies and reads word family 'u' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.	Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words
Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.	Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.	Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.	Identifies and reads word family 'o' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies ending vowel sounds in words by recognizing the vowel sound at the end of a word.	Identifies and reads word family 'u' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.	Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words
Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.	Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.	Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.	Identifies and reads word family 'o' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies beginning vowel sounds in words by recognizing the vowel sound at the start of a word.	Identifies and reads word family 'u' by recognizing onset-rime patterns and manipulating sounds to form related words.
Identifies images corresponding to common nouns using both reading and auditory cues.	Reads and understands simple sentences related to everyday life.
Identifies images corresponding to common nouns using both reading and auditory cues.	Identifies naming words (nouns) in isolation and in simple sentences.
Identifies images corresponding to common nouns using both reading and auditory cues.	Identifies and uses the pronoun in simple sentences by recognizing words used in place of naming words.
Identifies images corresponding to common nouns using both reading and auditory cues.	Identifies action words (verbs) in simple sentences by recognizing words that show actions.
Identifies images corresponding to common nouns using both reading and auditory cues.	Identifies and uses adjectives in simple sentences by recognizing words that describe nouns, such as size, color, number, or quality.
Identifies images corresponding to community helpers using both reading and auditory cues.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies images corresponding to community helpers using both reading and auditory cues.	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies images corresponding to community helpers using both reading and auditory cues.	Identifies and names key details in pictures by observing and labeling specific features shown.
Identifies images corresponding to community helpers using both reading and auditory cues.	Identifies naming words (nouns) in isolation and in simple sentences.
Identifies and reads words with the letter sound and uses them meaningfully in simple sentences.	Identifies and reads words with consonant digraphs
Identifies and reads words with the letter sound and uses them meaningfully in simple sentences.	Identifies and reads words with consonant blends.
Identifies and reads words with the letter sound and uses them meaningfully in simple sentences.	Identifies and reads words with vowel blends.
Identifies and reads words with the letter sound and uses them meaningfully in simple sentences.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies and reads words with the letter sound and uses them meaningfully in simple sentences.	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies and reads words with the letter sound and uses them meaningfully in simple sentences.	Identifies the beginning, middle, and ending sounds in words through auditory discrimination.
Identifies and reads words with the letter sound and uses them meaningfully in simple sentences.	Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).
Identifies and reads words with the letter sound and uses them meaningfully in simple sentences.	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words	Identifies and reads words with vowel blends.
Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words	Identifies the beginning, middle, and ending sounds in words through auditory discrimination.
Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words	Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).
Identifies and reads word family 'a' by recognizing onset-rime patterns and manipulating sounds to form related words	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.	Identifies and reads words with vowel blends.
Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.	Identifies the beginning, middle, and ending sounds in words through auditory discrimination.
Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.	Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).
Identifies and reads word family 'e' by recognizing onset-rime patterns and manipulating sounds to form related words.	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.	Identifies and reads words with vowel blends.
Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.	Identifies the beginning, middle, and ending sounds in words through auditory discrimination.
Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.	Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).
Identifies and reads word family 'i' by recognizing onset-rime patterns and manipulating sounds to form related words.	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies and reads word family 'o' by recognizing onset-rime patterns and manipulating sounds to form related words.	Identifies and reads words with vowel blends.
Identifies and reads word family 'o' by recognizing onset-rime patterns and manipulating sounds to form related words.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies and reads word family 'o' by recognizing onset-rime patterns and manipulating sounds to form related words.	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies and reads word family 'o' by recognizing onset-rime patterns and manipulating sounds to form related words.	Identifies the beginning, middle, and ending sounds in words through auditory discrimination.
Identifies and reads word family 'o' by recognizing onset-rime patterns and manipulating sounds to form related words.	Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).
Identifies and reads word family 'o' by recognizing onset-rime patterns and manipulating sounds to form related words.	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies and reads word family 'u' by recognizing onset-rime patterns and manipulating sounds to form related words.	Identifies and reads words with vowel blends.
Identifies and reads word family 'u' by recognizing onset-rime patterns and manipulating sounds to form related words.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies and reads word family 'u' by recognizing onset-rime patterns and manipulating sounds to form related words.	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies and reads word family 'u' by recognizing onset-rime patterns and manipulating sounds to form related words.	Identifies the beginning, middle, and ending sounds in words through auditory discrimination.
Identifies and reads word family 'u' by recognizing onset-rime patterns and manipulating sounds to form related words.	Decodes words by identifying the individual phonetic sounds of each lettersnd blends these sounds together to accurately read the complete word (e.g., /c/-/a/-/t/ -> cat).
Identifies and reads word family 'u' by recognizing onset-rime patterns and manipulating sounds to form related words.	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies and reads words with consonant digraphs	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies and reads words with consonant digraphs	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies and reads words with consonant digraphs	Identifies the beginning, middle, and ending sounds in words through auditory discrimination.
Identifies and reads words with consonant digraphs	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies and reads words with consonant digraphs	Identifies the correct spelling of words.
Identifies and reads words with consonant digraphs	Reads and understands simple sentences related to everyday life.
Identifies and reads words with consonant blends.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies and reads words with consonant blends.	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies and reads words with consonant blends.	Identifies the beginning, middle, and ending sounds in words through auditory discrimination.
Identifies and reads words with consonant blends.	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies and reads words with consonant blends.	Identifies the correct spelling of words.
Identifies and reads words with consonant blends.	Reads and understands simple sentences related to everyday life.
Identifies and reads words with vowel blends.	Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.
Identifies and reads words with vowel blends.	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Identifies and reads words with vowel blends.	Identifies the beginning, middle, and ending sounds in words through auditory discrimination.
Identifies and reads words with vowel blends.	Reads longer and more complex words by applying phonics knowledge, breaking words into smaller sound units or chunks, and blending them smoothly to read the whole word with accuracy and understanding.
Identifies and reads words with vowel blends.	Identifies the correct spelling of words.
Identifies and reads words with vowel blends.	Reads and understands simple sentences related to everyday life.
Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.	Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.
Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.	Identifies the correct spelling of words.
Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.	Reads and understands simple sentences related to everyday life.
Recognizes high-frequency sight words of 2-4 letters by sight, understands their meaning, and reads them accurately in isolation and simple sentences.	Reads and understands/creates longer and more complex sentences.
Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.	Identifies the correct spelling of words.
Recognizes longer, high-frequency sight words by sight without relying on phonetic decoding, understands their meaning through printed text, and accurately reads them both in isolation and within meaningful sentences.	Reads and understands simple sentences related to everyday life.
